modId	tier	sourceVersion	targetVersion	sourceClasses	targetClasses	sourceMixins	targetMixins	sourceFile	targetFile
bcc	HARD	4.0.8	21.1.8	20	16	2	1	BetterCompatibilityChecker-forge-4.0.8+mc1.20.1.jar	better-compatability-checker-neoforge-21.1.8.jar
betteradvancements	TRIVIAL	0.4.2.25	0.4.3.21	36	36	0	0	BetterAdvancements-Forge-1.20.1-0.4.2.25.jar	BetterAdvancements-NeoForge-1.21.1-0.4.3.21.jar
betterdeserttemples	HARD	1.20-Forge-3.0.3	1.21.1-NeoForge-4.1.5	57	62	2	1	YungsBetterDesertTemples-1.20-Forge-3.0.3.jar	YungsBetterDesertTemples-1.21.1-NeoForge-4.1.5.jar
betterdungeons	HARD	1.20-Forge-4.0.4	1.21.1-NeoForge-5.1.4	70	64	2	1	YungsBetterDungeons-1.20-Forge-4.0.4.jar	YungsBetterDungeons-1.21.1-NeoForge-5.1.4.jar
betterendisland	HARD	1.20-Forge-2.0.6	1.21.1-NeoForge-3.1.2	40	45	2	1	YungsBetterEndIsland-1.20-Forge-2.0.6.jar	YungsBetterEndIsland-1.21.1-NeoForge-3.1.2.jar
betterfortresses	HARD	1.20-Forge-2.0.6	1.21.1-NeoForge-3.1.5	31	26	2	1	YungsBetterNetherFortresses-1.20-Forge-2.0.6.jar	YungsBetterNetherFortresses-1.21.1-NeoForge-3.1.5.jar
betterjungletemples	HARD	1.20-Forge-2.0.5	1.21.1-NeoForge-3.1.2	38	32	2	1	YungsBetterJungleTemples-1.20-Forge-2.0.5.jar	YungsBetterJungleTemples-1.21.1-NeoForge-3.1.2.jar
bettermineshafts	HARD	1.20-Forge-4.0.4	1.21.1-NeoForge-5.1.1	50	51	2	1	YungsBetterMineshafts-1.20-Forge-4.0.4.jar	YungsBetterMineshafts-1.21.1-NeoForge-5.1.1.jar
betteroceanmonuments	HARD	1.20-Forge-3.0.4	1.21.1-NeoForge-4.1.2	33	28	2	1	YungsBetterOceanMonuments-1.20-Forge-3.0.4.jar	YungsBetterOceanMonuments-1.21.1-NeoForge-4.1.2.jar
betterstrongholds	HARD	1.20-Forge-4.0.3	1.21.1-NeoForge-5.1.3	36	32	2	1	YungsBetterStrongholds-1.20-Forge-4.0.3.jar	YungsBetterStrongholds-1.21.1-NeoForge-5.1.3.jar
betterwitchhuts	HARD	1.20-Forge-3.0.3	1.21.1-NeoForge-4.1.1	24	20	2	1	YungsBetterWitchHuts-1.20-Forge-3.0.3.jar	YungsBetterWitchHuts-1.21.1-NeoForge-4.1.1.jar
bhc	TRIVIAL	1.20.1-1.1.1	1.21.1-1.4.1	42	47	0	0	baubley-heart-canisters-1.20.1-1.1.1.jar	baubley-heart-canisters-1.21.1-1.4.1.jar
bigreactors	MODERATE	1.20.1-2.0.94	1.21.1-2.4.28	488	490	0	0	ExtremeReactors2-1.20.1-2.0.94.jar	ExtremeReactors2-1.21.1-2.4.28.jar
blockui	TRIVIAL	1.20.1-1.0.194	1.0.211-1.21.1-snapshot	121	166	0	0	blockui-1.20.1-1.0.194.jar	blockui-1.0.211-1.21.1-snapshot.jar
blueflame	HARD	1.20.0-1.0.3	1.21.1-1.1.1	17	11	0	0	blueflame-1.20.0-1.0.3.jar	blueflame-1.21.1-1.1.1.jar
bookshelf	HARD	20.2.13	21.1.81	180	173	2	2	Bookshelf-Forge-1.20.1-20.2.13.jar	bookshelf-neoforge-1.21.1-21.1.81.jar
botanypots	TRIVIAL	13.0.41	21.1.44	71	105	0	2	BotanyPots-Forge-1.20.1-13.0.41.jar	botanypots-neoforge-1.21.1-21.1.44.jar
botanytrees	TRIVIAL	9.0.19	21.1.7	3	2	0	2	BotanyTrees-Forge-1.20.1-9.0.19.jar	botanytrees-neoforge-1.21.1-21.1.7.jar
brandonscore	HARD	3.2.1.302	3.2.1.309	309	314	2	1	BrandonsCore-1.20.1-3.2.1.302-universal.jar	BrandonsCore-1.21.1-3.2.1.309.jar
buildinggadgets2	MODERATE	1.0.8	1.3.9	153	166	0	0	buildinggadgets2-1.0.8.jar	buildinggadgets2-1.3.9.jar
bwncr	TRIVIAL	3.17.2	3.20.4	9	9	0	0	bwncr-forge-1.20.1-3.17.2.jar	bwncr-neoforge-1.21.1-3.20.4.jar
cabletiers	HARD	1.20.1-1.2.2	1.21.1-0.6.13	82	253	1	1	cabletiers-1.20.1-1.2.2.jar	cabletiers-neoforge-1.21.1-0.6.13.jar
caelus	HARD	3.2.0+1.20.1	7.0.1+1.21.1	13	24	1	1	caelus-forge-3.2.0+1.20.1.jar	caelus-neoforge-7.0.1+1.21.1.jar
cataclysm	HARD	3.16	3.32	1200	1310	1	1	L_Enders_Cataclysm-3.16.jar	L_Ender's Cataclysm 1.21.1-3.32.jar
charginggadgets	TRIVIAL	1.11.0	1.14.1	24	25	0	0	charginggadgets-1.11.0.jar	charginggadgets-1.14.1.jar
chipped	HARD	3.0.7	4.0.2	50	62	1	1	chipped-forge-1.20.1-3.0.7.jar	chipped-neoforge-1.21.1-4.0.2.jar
cleanswing	TRIVIAL	1.8	1.9	1	1	0	0	cleanswing-1.20-1.8.jar	cleanswing-1.9.jar
cloth_config	MODERATE	11.1.136	15.0.140	633	633	0	0	cloth-config-11.1.136-forge.jar	cloth-config-15.0.140-neoforge.jar
clumps	HARD	12.0.0.4	19.0.0.1	15	15	1	1	Clumps-forge-1.20.1-12.0.0.4.jar	Clumps-neoforge-1.21.1-19.0.0.1.jar
codechickenlib	HARD	4.4.0.516	4.6.1.529	704	522	2	1	CodeChickenLib-1.20.1-4.4.0.516-universal.jar	CodeChickenLib-1.21.1-4.6.1.529.jar
colorfulhearts	HARD	4.3.16	10.5.9	62	53	2	2	colorfulhearts-forge-1.20.1-4.3.16.jar	colorfulhearts-neoforge-1.21.1-10.5.9.jar
colorwheel	HARD	1.0.0+mc1.20.1	1.2.9+mc1.21.1	151	182	2	2	colorwheel-forge-1.0.0+mc1.20.1.jar	colorwheel-neoforge-1.2.9+mc1.21.1.jar
comforts	HARD	6.4.0+1.20.1	9.0.5+1.21.1	59	64	1	1	comforts-forge-6.4.0+1.20.1.jar	comforts-neoforge-9.0.5+1.21.1.jar
commoncapabilities	MODERATE	2.9.9	2.11.5	158	158	0	0	CommonCapabilities-1.20.1-2.9.9.jar	commoncapabilities-1.21.1-neoforge-2.11.5-363.jar
computercraft	MODERATE	1.113.1	1.113.1	1189	1193	0	3	cc-tweaked-1.20.1-forge-1.113.1.jar	cc-tweaked-1.21.1-forge-1.113.1.jar
connectedglass	TRIVIAL	1.1.14	1.1.14	21	21	0	1	connectedglass-1.1.14-forge-mc1.20.1.jar	connectedglass-1.1.14-neoforge-mc1.21.jar
connectivity	NIGHTMARE	1.20.1-7.2	7.6	71	72	1	1	connectivity-1.20.1-7.2.jar	connectivity-1.21.1-7.6.jar
controlling	HARD	12.0.2	19.0.5	39	42	2	2	Controlling-forge-1.20.1-12.0.2.jar	Controlling-neoforge-1.21.1-19.0.5.jar
cookingforblockheads	MODERATE	16.0.14	21.1.24	210	229	1	2	cookingforblockheads-forge-1.20.1-16.0.14.jar	cookingforblockheads-neoforge-1.21.1-21.1.24.jar
corgilib	HARD	4.0.1.3	5.0.0.9	328	148	2	1	CorgiLib-forge-1.20.1-4.0.1.3.jar	Corgilib-NeoForge-1.21.1-5.0.0.9.jar
cosmeticarmorreworked	TRIVIAL	1.20.1-v1a	1.21.1-v1-neoforge	40	39	0	0	cosmeticarmorreworked-1.20.1-v1a.jar	cosmeticarmorreworked-1.21.1-v1-neoforge.jar
crafting_on_a_stick	TRIVIAL	1.1.5	1.21.0.6	22	42	0	0	crafting-on-a-stick-1.20.1-1.1.5.jar	crafting_on_a_stick-1.21.0.6.jar
craftingtweaks	TRIVIAL	18.2.6	21.1.10	84	101	1	2	craftingtweaks-forge-1.20.1-18.2.6.jar	craftingtweaks-neoforge-1.21.1-21.1.10.jar
crash_assistant	NIGHTMARE	1.10.10	1.11.11	211	644	0	0	CrashAssistant-forge-1.19-1.20.1-1.10.10.jar	CrashAssistant-neoforge-1.20.6-1.21.4-1.11.11.jar
crashutilities	TRIVIAL	8.1.4	9.0.4	96	92	0	0	crashutilities-8.1.4.jar	crashutilities-9.0.4.jar
create	NIGHTMARE	6.0.6	6.0.10	2625	2692	1	1	create-1.20.1-6.0.6.jar	create-1.21.1-6.0.10.jar
create_enchantment_industry	HARD	1.3.3-for-create-6.0.6	2.5.0	141	458	1	5	create_enchantment_industry-1.3.3-for-create-6.0.6.jar	create-enchantment-industry-2.5.0.jar
createaddition	HARD	1.20.1-1.3.2	1.6.0	186	245	1	1	createaddition-1.20.1-1.3.2.jar	createaddition-1.6.0.jar
creeperoverhaul	HARD	3.0.2	4.0.6	49	83	1	1	creeperoverhaul-3.0.2-forge.jar	CreeperOverhaul-neoforge-1.21.1-4.0.6.jar
cristellib	HARD	1.1.6	3.1.7	29	95	2	2	cristellib-1.1.6-forge.jar	cristellib-neoforge-1.21.1-3.1.7.jar
crystalix	TRIVIAL	1.3.5	3.0.0	43	72	0	0	crystalix-1.3.5_forge_1.20.1.jar	crystalix-3.0.0.jar
ctov	TRIVIAL	3.4.14	3.6.3	3	12	2	2	[forge]ctov-3.4.14.jar	[Neoforge]ctov-3.6.3.jar
cucumber	HARD	7.0.15	8.0.16	129	138	1	1	Cucumber-1.20.1-7.0.15.jar	Cucumber-1.21.1-8.0.16.jar
cupboard	HARD	1.20.1-2.7	3.9	16	18	1	1	cupboard-1.20.1-2.7.jar	cupboard-1.21.1-3.9.jar
curios	HARD	5.14.1+1.20.1	9.5.1+1.21.1	143	152	1	2	curios-forge-5.14.1+1.20.1.jar	curios-neoforge-9.5.1+1.21.1.jar
cyclopscore	MODERATE	1.21.1	1.29.2	589	757	0	1	CyclopsCore-1.20.1-1.21.1.jar	cyclopscore-1.21.1-neoforge-1.29.2.jar
darkmodeeverywhere	HARD	1.20.1-1.2.4	1.21.1-1.4.0	13	18	1	1	DarkModeEverywhere-1.20.1-1.2.4.jar	darkmodeeverywhere-neoforge-1.21.1-1.4.0.jar
deeperdarker	HARD	1.3.3	1.4.1	180	207	2	1	deeperdarker-forge-1.20.1-1.3.3.jar	deeperdarker-neoforge-1.21.1-1.4.1.jar
dimstorage	TRIVIAL	8.0.1	9.1.1	70	95	0	0	DimStorage-1.20.1-8.0.1.jar	DimStorage-1.21.1-9.1.1.jar
domum_ornamentum	MODERATE	1.20.1-1.0.291-snapshot	1.0.234-snapshot	285	275	0	0	domum_ornamentum-1.20.1-1.0.291-snapshot-universal.jar	domum-ornamentum-1.0.234-snapshot-main.jar
draconicevolution	HARD	3.1.2.621	3.1.4.632	648	682	2	1	Draconic-Evolution-1.20.1-3.1.2.621-universal.jar	Draconic-Evolution-1.21.1-3.1.4.632.jar
dungeoncrawl	MODERATE	2.3.15	2.3.17	163	154	0	0	Dungeon Crawl-1.20.1-2.3.15.jar	DungeonCrawl-NeoForge-1.21-2.3.17.jar
dungeons_arise	TRIVIAL	2.1.58-1.20.x	2.1.68	6	6	0	0	DungeonsArise-1.20.x-2.1.58-release.jar	DungeonsArise-1.21.1-2.1.68-release.jar
dyenamics	TRIVIAL	1.20.1-3.2.0	1.21.1-3.4.2	67	58	0	0	dyenamics-1.20.1-3.2.0.jar	dyenamics-1.21.1-3.4.2.jar
dyenamicsandfriends	TRIVIAL	1.20.1-1.9.3	1.21.1-2.2.2	71	70	0	0	dyenamicsandfriends-1.20.1-1.9.3.jar	dyenamicsandfriends-1.21.1-2.2.2.jar
easy_villagers	MODERATE	1.20.1-1.1.35	1.21.1-1.1.42	191	209	0	0	easy-villagers-forge-1.20.1-1.1.35.jar	easy-villagers-neoforge-1.21.1-1.1.42.jar
edivadlib	TRIVIAL	2.0.1	3.0.0	7	7	0	0	EdivadLib-1.20.1-2.0.1.jar	EdivadLib-1.21-3.0.0.jar
elevatorid	TRIVIAL	1.20.1-1.9.1-forge	1.21.1-1.11.4	25	26	0	1	elevatorid-1.20.1-1.9.1-forge.jar	elevatorid-neoforge-1.21.1-1.11.4.jar
enderio	HARD	6.2.15-beta	8.2.11-beta	1147	1196	4	1	EnderIO-1.20.1-6.2.15-beta-all.jar	enderio-8.2.11-beta.jar
endermanoverhaul	HARD	1.0.4	2.0.3	115	120	2	1	endermanoverhaul-forge-1.20.1-1.0.4.jar	endermanoverhaul-neoforge-1.21.1-2.0.3.jar
energymeter	TRIVIAL	1.20.1-1.0.0	1.21.1-0.5.0	65	130	0	1	energymeter-forge-1.20.1-1.0.0.jar	energymeter-neoforge-1.21.1-0.5.0.jar
entangled	TRIVIAL	1.3.20	1.3.21	20	28	0	1	entangled-1.3.20-forge-mc1.20.4.jar	entangled-1.3.21-neoforge-mc1.21.jar
euphoria_patcher	MODERATE	1.7.2-r5.6.1-forge	1.9.3-r5.8.1-neoforge	563	1420	0	1	EuphoriaPatcher-1.7.2-r5.6.1-forge.jar	EuphoriaPatcher-1.9.3-r5.8.1-neoforge.jar
everythingcopper	TRIVIAL	1.20.1-2.3.4	1.21.1-2.4.5	87	67	0	0	everythingcopper-1.20.1-2.3.4.jar	everythingcopper-1.21.1-2.4.5.jar
evilcraft	MODERATE	1.2.58	1.2.91	785	819	0	0	EvilCraft-1.20.1-1.2.58.jar	evilcraft-1.21.1-neoforge-1.2.91-1002.jar
evilcraftcompat	MODERATE	1.2.58	1.2.91	785	819	0	0	EvilCraft-1.20.1-1.2.58.jar	evilcraft-1.21.1-neoforge-1.2.91-1002.jar
extradisks	TRIVIAL	1.20.1-3.0.3	1.21.1-4.0.15	38	40	0	0	ExtraDisks-1.20.1-3.0.3.jar	ExtraDisks-1.21.1-4.0.15.jar
extrastorage	TRIVIAL	4.0.7	5.0.10	77	107	0	0	ExtraStorage-1.20.1-4.0.7.jar	ExtraStorage-1.21.1-5.0.10.jar
extremesoundmuffler	HARD	3.48	3.56	22	22	1	1	ExtremeSoundMuffler-3.49.1-forge-1.20.1.jar	ExtremeSoundMuffler-3.56_NeoForge-1.21.jar
farmersdelight	HARD	1.20.1-1.2.9	1.3.2	252	292	1	1	FarmersDelight-1.20.1-1.2.9.jar	FarmersDelight-1.21.1-1.3.2.jar
farmingforblockheads	HARD	14.0.4	21.1.13	98	81	1	2	farmingforblockheads-forge-1.20.1-14.0.4.jar	farmingforblockheads-neoforge-1.21.1-21.1.13.jar
fastbench	NIGHTMARE	8.0.4	9.1.3	15	16	1	1	FastWorkbench-1.20.1-8.0.4.jar	FastWorkbench-1.21.1-9.1.3.jar
fastfurnace	NIGHTMARE	8.0.2	9.0.1	2	2	1	1	FastFurnace-1.20.1-8.0.2.jar	FastFurnace-1.21.1-9.0.1.jar
fastsuite	NIGHTMARE	5.1.0	6.0.7	12	14	1	1	FastSuite-1.20.1-5.1.0.jar	FastSuite-1.21.1-6.0.7.jar
ferritecore	NIGHTMARE	6.0.1	7.0.3	81	77	0	0	ferritecore-6.0.1-forge.jar	ferritecore-7.0.3-neoforge.jar
flickerfix	HARD	4.0.1	6.1.0	2	2	1	1	flickerfix-1.20.1-4.0.1.jar	flickerfix-1.21.1-6.1.0.jar
fluxnetworks	MODERATE	7.2.1.15	8.0.0	217	222	0	0	FluxNetworks-1.20.1-7.2.1.15.jar	FluxNetworks-1.21.1-8.0.0.jar
forbidden_arcanus	HARD	1.20.1-2.2.6	2.6.1	416	480	1	1	forbidden_arcanus-1.20.1-2.2.6.jar	forbidden_arcanus-2.6.1.jar
framedblocks	HARD	9.4.2	10.6.1	1298	1743	0	0	FramedBlocks-9.4.2.jar	FramedBlocks-10.6.1.jar
ftbchunks	HARD	2001.3.6	2101.1.21	200	238	1	1	ftb-chunks-forge-2001.3.6.jar	ftb-chunks-neoforge-2101.1.21.jar
ftbessentials	HARD	2001.2.3	2101.1.10	64	92	1	1	ftb-essentials-forge-2001.2.3.jar	ftb-essentials-neoforge-2101.1.10.jar
ftblibrary	HARD	2001.2.10	2101.1.34	318	403	1	1	ftb-library-forge-2001.2.10.jar	ftb-library-neoforge-2101.1.34.jar
ftbquests	MODERATE	2001.4.14	2101.1.29	380	472	0	1	ftb-quests-forge-2001.4.14.jar	ftb-quests-neoforge-2101.1.29.jar
ftbranks	HARD	2001.1.7	2101.1.4	52	53	1	1	ftb-ranks-forge-2001.1.7.jar	ftb-ranks-neoforge-2101.1.4.jar
ftbteams	TRIVIAL	2001.3.1	2101.1.10	122	131	0	0	ftb-teams-forge-2001.3.1.jar	ftb-teams-neoforge-2101.1.10.jar
ftbultimine	HARD	2001.1.7	2101.1.15	62	96	1	1	ftb-ultimine-forge-2001.1.7.jar	ftb-ultimine-neoforge-2101.1.15.jar
ftbxmodcompat	TRIVIAL	2.1.3	21.1.10	83	101	0	1	ftb-xmod-compat-forge-2.1.3.jar	ftb-xmod-compat-neoforge-21.1.10.jar
fuelgoeshere	HARD	1.20.0-1.0.1	1.21.1-1.2.0	3	4	0	0	fuelgoeshere-1.20.0-1.0.1.jar	fuelgoeshere-1.21.1-1.2.0.jar
functionalstorage	TRIVIAL	1.20.1-1.2.13	1.21.1-1.5.8	142	179	0	0	functionalstorage-1.20.1-1.2.13.jar	functionalstorage-1.21.1-1.5.8.jar
fusion	NIGHTMARE	1.2.11+a	1.3.12	264	464	2	1	fusion-1.2.11a-forge-mc1.20.1.jar	fusion-1.3.12-neoforge-mc1.21.1.jar
gateways	NIGHTMARE	4.2.6	5.1.0	88	84	1	1	GatewaysToEternity-1.20.1-4.2.6.jar	GatewaysToEternity-1.21.1-5.1.0.jar
geckolib	HARD	4.8.2	4.9.2	261	262	1	1	geckolib-forge-1.20.1-4.8.2.jar	geckolib-neoforge-1.21.1-4.9.2.jar
generatorgalore	TRIVIAL	1.20.1-1.2.4	1.21.1-1.6.3	52	62	0	0	generatorgalore-1.20.1-1.2.4.jar	generatorgalore-1.21.1-1.6.3.jar
getittogetherdrops	HARD	1.3	1.4	3	4	1	1	getittogetherdrops-forge-1.20-1.3.jar	getittogetherdrops-neoforge-1.21.5-1.4.jar
glassential	TRIVIAL	2.4.5	3.4.5	19	77	1	1	glassential-renewed-forge-1.20.1-2.4.5.jar	Glassential-renewed-1.21.1-3.4.5.jar
glodium	TRIVIAL	1.20-1.5-forge	1.21-2.2-neoforge	36	31	0	0	Glodium-1.20-1.5-forge.jar	Glodium-1.21-2.2-neoforge.jar
guideme	MODERATE	20.1.13	21.1.17	5130	5102	0	1	guideme-20.1.13.jar	guideme-21.1.17.jar
handcrafted	HARD	3.0.6	4.0.3	84	81	2	1	handcrafted-forge-1.20.1-3.0.6.jar	handcrafted-neoforge-1.21.1-4.0.3.jar
hostilenetworks	NIGHTMARE	5.3.3	6.5.1	60	112	1	1	HostileNeuralNetworks-1.20.1-5.3.3.jar	HostileNeuralNetworks-1.21.1-6.5.1.jar
immersiveengineering	NIGHTMARE	1.20.1-10.2.0-183	12.4.2-194	1768	1841	1	1	ImmersiveEngineering-1.20.1-10.2.0-183.jar	ImmersiveEngineering-1.21.1-12.4.2-194.jar
industrialforegoing	MODERATE	3.5.21	1.21-3.6.39	592	659	0	1	industrial-foregoing-1.20.1-3.5.21.jar	industrialforegoing-1.21-3.6.39.jar
industrialforegoingsouls	TRIVIAL	1.20.1-1.0.9	1.10.7	29	34	0	0	industrial-foregoing-souls-1.20.1-1.0.9.jar	industrial-foregoing-souls-1.21.1-1.10.7.jar
integratedcrafting	TRIVIAL	1.3.0	1.4.6	83	88	0	0	IntegratedCrafting-1.20.1-1.3.0.jar	integratedcrafting-1.21.1-neoforge-1.4.6-605.jar
integrateddynamics	HARD	1.28.1	1.33.4	1649	1690	2	1	IntegratedDynamics-1.20.1-1.28.1.jar	integrateddynamics-1.21.1-neoforge-1.33.4-1907.jar
integrateddynamicscompat	HARD	1.28.1	1.33.4	1649	1690	2	1	IntegratedDynamics-1.20.1-1.28.1.jar	integrateddynamics-1.21.1-neoforge-1.33.4-1907.jar
integratedterminals	MODERATE	1.6.10	1.7.0	226	232	0	0	IntegratedTerminals-1.20.1-1.6.10.jar	integratedterminals-1.21.1-neoforge-1.7.0-800.jar
integratedterminalscompat	MODERATE	1.6.10	1.7.0	226	232	0	0	IntegratedTerminals-1.20.1-1.6.10.jar	integratedterminals-1.21.1-neoforge-1.7.0-800.jar
integratedtunnels	MODERATE	1.9.0	1.9.4	186	192	0	0	IntegratedTunnels-1.20.1-1.9.0.jar	integratedtunnels-1.21.1-neoforge-1.9.4-652.jar
integratedtunnelscompat	MODERATE	1.9.0	1.9.4	186	192	0	0	IntegratedTunnels-1.20.1-1.9.0.jar	integratedtunnels-1.21.1-neoforge-1.9.4-652.jar
invtweaks	TRIVIAL	1.2.2	1.21.1-1.3.2	19	22	0	0	invtweaks-1.20.1-1.2.2.jar	invtweaks-1.21.1-1.3.2.jar
ironfurnaces	MODERATE	4.1.6	4.3.2	182	165	0	0	ironfurnaces-1.20.1-4.1.6.jar	ironfurnaces-neoforge-1.21.1-4.3.2.jar
ironjetpacks	TRIVIAL	7.0.9	8.0.11	49	50	0	0	IronJetpacks-1.20.1-7.0.9.jar	IronJetpacks-1.21.1-8.0.11.jar
irons_spellbooks	HARD	1.20.1-3.4.0.11	1.21.1-3.16.2	886	1186	1	1	irons_spellbooks-1.20.1-3.4.0.11.jar	irons_spellbooks-1.21.1-3.16.2.jar
itemcollectors	TRIVIAL	1.1.11	1.1.10	31	31	0	1	itemcollectors-1.1.11-forge-mc1.20.2.jar	itemcollectors-1.1.10-neoforge-mc1.21.jar
jade	HARD	11.13.2+forge	15.10.5+neoforge	242	301	1	1	Jade-1.20.1-Forge-11.13.2.jar	Jade-1.21.1-NeoForge-15.10.5.jar
jearchaeology	TRIVIAL	1.20.1-1.0.4	1.21.1-1.2.0	25	27	0	0	jearchaeology-1.20.1-1.0.4.jar	jearchaeology-1.21.1-1.2.0.jar
jei	MODERATE	15.20.0.116	19.43.0.392	880	993	0	0	jei-1.20.1-forge-15.20.0.116.jar	jei-1.21.1-neoforge-19.43.0.392.jar
jei_mekanism_multiblocks	HARD	4.14	7.16	65	70	0	0	JustEnoughMekanismMultiblocks-1.20.1-4.14.jar	JustEnoughMekanismMultiblocks-1.21.1-7.16.jar
journeymap	NIGHTMARE	5.10.3	1.21.1-6.0.2	2382	864	1	2	journeymap-1.20.1-5.10.3-forge.jar	journeymap-neoforge-1.21.1-6.0.2.jar
